,State,Category,Water User,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
13,CA,AG,Yuma Project Res Div Indian Unit,41470,37292,38555,38668,42449,43941,34151,36103,39258,42432,43767,40005,22485,26751,29713,27577,32077,43324,62675,48833,48648,48461,44391,48220,38281,32521,31008,31386,31350,29785,40239,47064,46352,46259,44803,38187,45290,46044,37818,41556,45042,46238
14,CA,AG,Yuma Project Res Div Bard Unit,47446,49016,49763,47565,46903,49958,43854,44185,48910,47676,50740,47811,40667,40452,46293,46673,48777,52824,39653,52416,53421,45822,50813,54857,52260,55726,53179,49812,48800,50344,45678,47221,46977,37457,38537,40757,43454,44568,43550,39551,49552,50729
17,CA,AG,Imperial Irrigation District,2509234,2505343,2646792,2752483,2678784,2490722,2430864,2414472,2544853,2492525,2472784,2221319,2153431,2358458,2309423,2309525,2351936,2517132,2603190,2654689,2478997,2138444,2359044,2604195,2607943,2741481,2718840,2662289,2622407,2642254,2626730,2682480,2481041,2284123,2299699,2452150,2423246,2490132,2286109,2390267,,
18,CA,M&I,Imperial Irrigation District,25365,26000,23521,24738,24922,24543,23886,26229,26003,27170,26977,26916,26812,27870,25874,27058,27732,27071,27857,26223,41163,40326,45410,48591,51760,52397,49192,48432,49152,52194,53058,53619,54620,58125,54066,54059,52531,54219,54466,53868,,
19,CA,AG,Imperial Irrigation District service area canal losses,433308,434567,377586,394756,367268,361719,317312,316498,313379,326084,372528,347343,375374,280207,350540,341791,385197,403378,378404,373276,378803,393889,367694,395290,410879,365731,390454,390827,417421,236803,410123,416885,442562,401661,403081,403471,396977,280765,226138,101458,,
21,CA,M&I,Water Exchanged with SDCWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14359,15000,20000,23306,26085,30158,80282,0,15110
22,CA,AG,CVWD agriculture,309996,331489,346205,351495,359279,334405,323136,316614,311121,322010,355468,320563,282836,294075,283227,282138,279658,283341,303593,311491,271761,258627,272474,289549,284401,289522,280570,280178,278769,280599,269106,278138,246332,235843,219949,245894,257555,262379,268199,228861,,
23,CA,M&I,CVWD M&I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,1364,2802,1813,3572,2324,1329,3437,8586,2748,5775,1358,22356,54298,,
24,CA,"Fish, Wildlife, Recreation","CVWD fish, wildlife, recreation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,50,1712,1744,,
25,CA,AG,CVWD service area canal losses,160687,179987,176151,207369,211708,190396,185499,192877,219612,209781,96792,104305,79430,61714,53775,57564,52977,48480,55826,58194,45802,50740,46516,36553,42296,41951,57043,55924,52239,46955,52418,50645,49147,79336,76233,80670,48596,35277,16293,21238,,
